"Date of operation (UTC)","AC registration","Flight ID","ICAO Call sign","AC Type","Flight type","Departing Airport ICAO Code","Departure Time/ Block-off time (UTC)","Destination Airport ICAO Code","Arrival Time/ Block-on Time(UTC)","Uplift Volume (Litres)","Uplift density","Block On (tonnes)","Block Off (tonnes)","UpdatedAt"
"05/07/2020","EAC","0555","BJ",320,"J","",44017.41319444445,"DTTJ",44017.53819444445,6911,0.791999995708466,9994,3380,"2025-05-01T17:00:00.126Z"
"05/07/2020","EAC","0508","BJ",320,"J","DTTJ",44017.58680555555,"",44017.70416666667,9750,0.778999984264374,10975,4420,"2025-05-01T17:00:00.126Z"
"05/07/2020","EAC","0509","BJ",320,"J","",44017.75902777778,"DTTJ",44017.87777777778,7706,0.790000021457672,10508,3500,"2025-05-01T17:00:00.126Z"
"06/07/2020","EAC","7646","BJ",320,"C","DTTJ",44018.10416666666,"EPWA",44018.22569444445,11000,0.779999971389771,12080,4480,"2025-05-01T17:00:00.126Z"
"06/07/2020","EAC","7647","BJ",320,"C","EPWA",44018.28125,"DTTJ",44018.42013888889,9503,0.792999982833862,12016,2740,"2025-05-01T17:00:00.126Z"
"06/07/2020","EAC","0736","BJ",320,"R","DTTJ",44018.46111111111,"DTTJ",44018.47569444445,11194,0.77700001001358,11438,11200,"2025-05-01T17:00:00.126Z"
"06/07/2020","EAC","0737","BJ",320,"J","LFRS",44018.74722222222,"DTTJ",44018.85,7666,0.800000011920929,10133,3880,"2025-05-01T17:00:00.126Z"
"06/07/2020","EAC","0588","BJ",320,"J","DTTJ",44018.88541666666,"LFML",44018.96319444444,12050,0.778999984264374,13267,4767,"2025-05-01T17:00:00.126Z"
"06/07/2020","EAC","0589","BJ",320,"J","LFML",44018.99305555555,"DTTJ",44019.07222222222,8500,0.800000011920929,11567,4000,"2025-05-01T17:00:00.126Z"
"07/07/2020","EAC","2046","BJ",320,"J","DTTJ",44019.18333333333,"EDDF",44019.30069444444,10850,0.782000005245209,12485,5580,"2025-05-01T17:00:00.126Z"
"07/07/2020","EAC","2047","BJ",320,"J","EDDF",44019.38194444445,"DTTJ",44019.49722222222,5460,0.797999978065491,9937,3100,"2025-05-01T17:00:00.126Z"
"07/07/2020","EAC","2022","BJ",320,"J","DTTJ",44019.54375,"EDDL",44019.66458333333,10000,0.777999997138977,10880,3700,"2025-05-01T17:00:00.126Z"
"07/07/2020","EAC","2023","BJ",320,"J","EDDL",44019.70833333334,"DTTJ",44019.82986111111,9695,0.77700001001358,11233,3980,"2025-05-01T17:00:00.126Z"
"08/07/2020","EAC","0740","BJ",320,"J","DTTJ",44020.15486111111,"LFBO",44020.24791666667,5850,0.781000018119812,8549,3360,"2025-05-01T17:00:00.126Z"
"08/07/2020","EAC","0741","BJ",320,"J","LFBO",44020.28819444445,"DTTJ",44020.37152777778,6552,0.790000021457672,8536,3780,"2025-05-01T17:00:00.126Z"
"08/07/2020","EAC","2344","BJ",320,"C","DTTJ",44020.52013888889,"EDDL",44020.64236111111,9000,0.778999984264374,10791,3800,"2025-05-01T17:00:00.126Z"
"08/07/2020","EAC","2345","BJ",320,"C","EDDL",44020.7,"DTTJ",44020.81944444445,8705,0.806999981403351,10825,3400,"2025-05-01T17:00:00.126Z"
"09/07/2020","EAC","0554","BJ",320,"J","DTTJ",44021.24930555555,"",44021.37222222222,18700,0.779999971389771,17986,10500,"2025-05-01T17:00:00.126Z"
"09/07/2020","EAC","0555","BJ",320,"J","",44021.43402777778,"DTTJ",44021.54513888889,0,0.800000011920929,10500,3800,"2025-05-01T17:00:00.126Z"
"09/07/2020","EAC","0508","BJ",320,"J","DTTJ",44021.59861111111,"",44021.72291666667,18900,0.779999971389771,18542,10960,"2025-05-01T17:00:00.126Z"
"09/07/2020","EAC","0509","BJ",320,"J","",44021.78472222222,"DTTJ",44021.90277777778,0,0.800000011920929,10960,3820,"2025-05-01T17:00:00.126Z"
"10/07/2020","EAC","7666","BJ",320,"C","DTTJ",44022.05277777778,"EPWA",44022.19166666667,11350,0.779999971389771,12673,4300,"2025-05-01T17:00:00.126Z"
"10/07/2020","EAC","7667","BJ",320,"C","EPWA",44022.26111111111,"DTTJ",44022.39652777778,8473,0.790000021457672,10994,2960,"2025-05-01T17:00:00.126Z"
"10/07/2020","EAC","0574","BJ",320,"J","DTTJ",44022.4375,"LFLL",44022.52777777778,7500,0.778999984264374,8803,3420,"2025-05-01T17:00:00.126Z"
"10/07/2020","EAC","0575","BJ",320,"J","LFLL",44022.57361111111,"DTTJ",44022.66180555556,6233,0.783999979496002,8307,3180,"2025-05-01T17:00:00.126Z"
"10/07/2020","EAC","7632","BJ",320,"C","DTTJ",44022.71180555555,"EPKT",44022.82986111111,10600,0.779999971389771,11448,3900,"2025-05-01T17:00:00.126Z"
"10/07/2020","EAC","7633","BJ",320,"C","EPKT",44022.89236111111,"DTTJ",44023.00694444445,8516,0.791999995708466,10645,3800,"2025-05-01T17:00:00.126Z"
"11/07/2020","EAC","7654","BJ",320,"C","DTTJ",44023.13888888889,"EPKT",44023.25694444445,9250,0.779999971389771,11015,3600,"2025-05-01T17:00:00.126Z"
"11/07/2020","EAC","7655","BJ",320,"C","EPKT",44023.29027777778,"DTTJ",44023.41111111111,8683,0.791700005531311,10474,3440,"2025-05-01T17:00:00.126Z"
"11/07/2020","EAC","0134","BJ",320,"J","DTTJ",44023.45486111111,"LFSB",44023.55555555555,8000,0.779999971389771,9680,4100,"2025-05-01T17:00:00.126Z"
"11/07/2020","EAC","0135","BJ",320,"J","LFSB",44023.61111111111,"DTTJ",44023.71527777778,6868,0.788999974727631,9519,3600,"2025-05-01T17:00:00.126Z"
"11/07/2020","EAC","0770","BJ",320,"J","DTTJ",44023.75694444445,"LFBD",44023.86458333334,7940,0.779999971389771,9793,4000,"2025-05-01T17:00:00.126Z"
"11/07/2020","EAC","0771","BJ",320,"J","LFBD",44023.90902777778,"DTTJ",44024.00208333333,6063,0.795000016689301,8820,3400,"2025-05-01T17:00:00.126Z"
"12/07/2020","EAC","2608","BJ",320,"J","DTTJ",44024.19791666666,"EDDF",44024.3125,8592,0.781000018119812,10110,3840,"2025-05-01T17:00:00.126Z"
"12/07/2020","EAC","2609","BJ",320,"J","EDDF",44024.42013888889,"DTTJ",44024.53055555555,7698,0.799000024795532,9991,3160,"2025-05-01T17:00:00.126Z"
"12/07/2020","EAC","0384","BJ",320,"J","DTTJ",44024.61458333334,"EBBR",44024.73263888889,9300,0.800000011920929,10600,3200,"2025-05-01T17:00:00.126Z"
"12/07/2020","EAC","0385","BJ",320,"J","EBBR",44024.80208333334,"DTTJ",44024.90972222222,11675,0.800000011920929,12540,5100,"2025-05-01T17:00:00.126Z"
"13/07/2020","EAC","7646","BJ",320,"C","DTTJ",44025.10069444445,"EPWA",44025.22638888889,8750,0.779999971389771,11925,4200,"2025-05-01T17:00:00.126Z"
"13/07/2020","EAC","7647","BJ",320,"C","EPWA",44025.28472222222,"DTTJ",44025.42361111111,9268,0.792999982833862,11550,3400,"2025-05-01T17:00:00.126Z"
"13/07/2020","EAC","0736","BJ",320,"J","DTTJ",44025.46527777778,"LFRS",44025.58333333334,9260,0.779999971389771,10623,3820,"2025-05-01T17:00:00.126Z"
"13/07/2020","EAC","0737","BJ",320,"J","LFRS",44025.625,"DTTJ",44025.73263888889,8348,0.800000011920929,10498,3920,"2025-05-01T17:00:00.126Z"
"13/07/2020","EAC","0574","BJ",320,"J","DTTJ",44025.77083333334,"LFLL",44025.86111111111,6230,0.776000022888184,8754,3700,"2025-05-01T17:00:00.126Z"
"13/07/2020","EAC","0575","BJ",320,"J","LFLL",44025.91319444445,"DTTJ",44026.00694444445,6184,0.787999987602234,8573,3600,"2025-05-01T17:00:00.126Z"
"14/07/2020","EAC","2046","BJ",320,"J","DTTJ",44026.19444444445,"EDDF",44026.31597222222,8800,0.779999971389771,10464,3400,"2025-05-01T17:00:00.126Z"
"14/07/2020","EAC","2047","BJ",320,"J","EDDF",44026.39930555555,"DTTJ",44026.50763888889,8862,0.795000016689301,10445,3440,"2025-05-01T17:00:00.126Z"
"14/07/2020","EAC","2022","BJ",320,"J","DTTJ",44026.54861111111,"EDDL",44026.67361111111,10493,0.777999997138977,11604,3840,"2025-05-01T17:00:00.126Z"
"14/07/2020","EAC","2023","BJ",320,"J","EDDL",44026.70833333334,"DTTJ",44026.83333333334,9567,0.801999986171722,11513,3960,"2025-05-01T17:00:00.126Z"
"15/07/2020","EAC","7614","BJ",320,"C","DTTJ",44027.09722222222,"EPKT",44027.21180555555,8500,0.781000018119812,10599,3600,"2025-05-01T17:00:00.126Z"
"15/07/2020","EAC","7615","BJ",320,"C","EPKT",44027.26736111111,"DTTJ",44027.39583333334,8703,0.790499985218048,10480,2900,"2025-05-01T17:00:00.126Z"
"15/07/2020","EAC","2344","BJ",320,"C","DTTJ",44027.54513888889,"EDDL",44027.66944444444,9950,0.778999984264374,10651,3040,"2025-05-01T17:00:00.126Z"
"15/07/2020","EAC","2345","BJ",320,"C","EDDL",44027.70833333334,"DTTJ",44027.82638888889,9583,0.800000011920929,10706,3620,"2025-05-01T17:00:00.126Z"
"16/07/2020","EAC","0702","BJ",320,"J","DTTJ",44028.10416666666,"",44028.22569444445,9500,0.779999971389771,11030,4900,"2025-05-01T17:00:00.126Z"
"16/07/2020","EAC","0703","BJ",320,"J","",44028.25694444445,"DTTJ",44028.375,5997,0.800000011920929,9698,3200,"2025-05-01T17:00:00.126Z"
"16/07/2020","EAC","0736","BJ",320,"J","DTTJ",44028.41666666666,"LFRS",44028.52777777778,8900,0.777999997138977,10124,3600,"2025-05-01T17:00:00.126Z"
"16/07/2020","EAC","0737","BJ",320,"J","LFRS",44028.57986111111,"DTTJ",44028.68472222222,7640,0.796000003814697,9681,3640,"2025-05-01T17:00:00.126Z"
"17/07/2020","EAC","7630","BJ",320,"C","DTTJ",44029.07638888889,"EPPO",44029.20486111111,9850,0.781000018119812,11333,3760,"2025-05-01T17:00:00.126Z"
"17/07/2020","EAC","7631","BJ",320,"C","EPPO",44029.25,"DTTJ",44029.375,9075,0.792999982833862,10956,3540,"2025-05-01T17:00:00.126Z"
"17/07/2020","EAC","0702","BJ",320,"J","DTTJ",44029.45138888889,"",44029.56597222222,10500,0.779999971389771,11730,4200,"2025-05-01T17:00:00.126Z"
"17/07/2020","EAC","0703","BJ",320,"J","",44029.61458333334,"DTTJ",44029.71875,7500,0.790000021457672,10125,3300,"2025-05-01T17:00:00.126Z"
"17/07/2020","EAC","3382","BJ",320,"P","DTTJ",44029.75972222222,"LFLL",44029.85416666666,6100,0.77700001001358,8040,3320,"2025-05-01T17:00:00.126Z"
"17/07/2020","EAC","3383","BJ",320,"C","LFLL",44029.89444444444,"DTTJ",44029.98472222222,6331,0.781000018119812,8265,3100,"2025-05-01T17:00:00.126Z"
"18/07/2020","EAC","7654","BJ",320,"C","DTTJ",44030.11458333334,"EPKT",44030.24305555555,10700,0.777999997138977,11425,3840,"2025-05-01T17:00:00.126Z"
"18/07/2020","EAC","7655","BJ",320,"C","EPKT",44030.28819444445,"DTTJ",44030.40625,7751,0.800000011920929,10041,2900,"2025-05-01T17:00:00.126Z"
"18/07/2020","EAC","0134","BJ",320,"J","DTTJ",44030.44444444445,"LFSB",44030.55208333334,8000,0.77700001001358,9116,3420,"2025-05-01T17:00:00.126Z"
"18/07/2020","EAC","0135","BJ",320,"J","LFSB",44030.625,"DTTJ",44030.72916666666,7502,0.800000011920929,9422,3660,"2025-05-01T17:00:00.126Z"
"18/07/2020","EAC","0770","BJ",320,"J","DTTJ",44030.77777777778,"LFBD",44030.88194444445,8450,0.769999980926514,10167,4300,"2025-05-01T17:00:00.126Z"
"18/07/2020","EAC","0771","BJ",320,"J","LFBD",44030.92152777778,"DTTJ",44031.01736111111,6025,0.800000011920929,9120,3500,"2025-05-01T17:00:00.126Z"
"19/07/2020","EAC","2966","BJ",320,"C","DTTJ",44031.11111111111,"EDDL",44031.23263888889,9400,0.777999997138977,10813,3100,"2025-05-01T17:00:00.126Z"
"19/07/2020","EAC","2967","BJ",320,"C","EDDL",44031.30208333334,"DTTJ",44031.40972222222,9108,0.804000020027161,10423,3000,"2025-05-01T17:00:00.126Z"
"19/07/2020","EAC","0702","BJ",320,"J","DTTJ",44031.49861111111,"",44031.61666666667,9700,0.774999976158142,10518,3640,"2025-05-01T17:00:00.126Z"
"19/07/2020","EAC","0703","BJ",320,"J","",44031.66597222222,"DTTJ",44031.78055555555,8651,0.787000000476837,10448,3620,"2025-05-01T17:00:00.126Z"
"20/07/2020","EAC","2972","BJ",320,"C","DTTJ",44032.08680555555,"EDDL",44032.20833333334,9000,0.778999984264374,10631,3400,"2025-05-01T17:00:00.126Z"
"20/07/2020","EAC","2973","BJ",320,"C","EDDL",44032.26041666666,"DTTJ",44032.38888888889,10131,0.800999999046326,11515,3900,"2025-05-01T17:00:00.126Z"
"20/07/2020","EAC","0592","BJ",320,"J","DTTJ",44032.43611111111,"LFLL",44032.52638888889,7090,0.778999984264374,9423,4300,"2025-05-01T17:00:00.126Z"
"20/07/2020","EAC","0593","BJ",320,"J","LFLL",44032.5625,"DTTJ",44032.65277777778,6006,0.787000000476837,9027,3800,"2025-05-01T17:00:00.126Z"
"20/07/2020","EAC","0740","BJ",320,"J","DTTJ",44032.70486111111,"LFBO",44032.79861111111,7366,0.776000022888184,9516,4200,"2025-05-01T17:00:00.126Z"
"20/07/2020","EAC","0741","BJ",320,"J","LFBO",44032.83333333334,"DTTJ",44032.92222222222,5453,0.78600001335144,8486,3580,"2025-05-01T17:00:00.126Z"
"21/07/2020","EAC","0134","BJ",320,"J","DTTJ",44033.38194444445,"LFSB",44033.49305555555,8350,0.800000011920929,10260,3260,"2025-05-01T17:00:00.126Z"
"21/07/2020","EAC","0135","BJ",320,"J","LFSB",44033.52777777778,"DTTJ",44033.625,7443,0.795000016689301,9177,3380,"2025-05-01T17:00:00.126Z"
"21/07/2020","EAC","0702","BJ",320,"J","DTTJ",44033.68819444445,"",44033.80625,10456,0.777999997138977,11515,4160,"2025-05-01T17:00:00.126Z"
"21/07/2020","EAC","0703","BJ",320,"J","",44033.84375,"DTTJ",44033.95208333333,7417,0.800000011920929,10094,3440,"2025-05-01T17:00:00.126Z"
"22/07/2020","EAC","0740","BJ",320,"J","DTTJ",44034.15347222222,"LFBO",44034.24513888889,7587,0.800000011920929,9510,4200,"2025-05-01T17:00:00.126Z"
"22/07/2020","EAC","0741","BJ",320,"J","LFBO",44034.29513888889,"DTTJ",44034.37986111111,5172,0.800000011920929,8338,3320,"2025-05-01T17:00:00.126Z"
"22/07/2020","EAC","0762","BJ",320,"J","DTTJ",44034.43055555555,"LFQQ",44034.55902777778,11450,0.77700001001358,12217,4400,"2025-05-01T17:00:00.126Z"
"22/07/2020","EAC","0763","BJ",320,"J","LFQQ",44034.60416666666,"DTTJ",44034.72916666666,8397,0.800000011920929,11118,4000,"2025-05-01T17:00:00.126Z"
"22/07/2020","EAC","0770","BJ",320,"J","DTTJ",44034.75972222222,"LFBD",44034.86388888889,7050,0.777999997138977,9485,3560,"2025-05-01T17:00:00.126Z"
"22/07/2020","EAC","0771","BJ",320,"J","LFBD",44034.89583333334,"DTTJ",44034.99652777778,6970,0.791000008583069,9073,3520,"2025-05-01T17:00:00.126Z"
"23/07/2020","EAC","0554","BJ",320,"J","DTTJ",44035.24652777778,"",44035.375,10800,0.779999971389771,11944,4800,"2025-05-01T17:00:00.126Z"
"23/07/2020","EAC","0555","BJ",320,"J","",44035.41319444445,"DTTJ",44035.52430555555,6682,0.787999987602234,10065,3700,"2025-05-01T17:00:00.126Z"
"23/07/2020","EAC","0508","BJ",320,"J","DTTJ",44035.58680555555,"",44035.71527777778,9550,0.777999997138977,11130,3500,"2025-05-01T17:00:00.126Z"
"23/07/2020","EAC","0509","BJ",320,"J","",44035.78472222222,"DTTJ",44035.89930555555,8871,0.790000021457672,10508,3580,"2025-05-01T17:00:00.126Z"
"24/07/2020","EAC","7666","BJ",320,"C","DTTJ",44036.0625,"EPWA",44036.20486111111,11300,0.778999984264374,12383,3800,"2025-05-01T17:00:00.126Z"
"24/07/2020","EAC","7667","BJ",320,"C","EPWA",44036.26041666666,"DTTJ",44036.39236111111,8842,0.794799983501434,10828,3200,"2025-05-01T17:00:00.126Z"
"24/07/2020","EAC","0574","BJ",320,"J","DTTJ",44036.47708333333,"LFLL",44036.56458333333,6312,0.800000011920929,8250,2740,"2025-05-01T17:00:00.126Z"
"24/07/2020","EAC","0575","BJ",320,"J","LFLL",44036.625,"DTTJ",44036.71041666667,7160,0.782999992370605,8346,3020,"2025-05-01T17:00:00.126Z"
"24/07/2020","EAC","7632","BJ",320,"C","DTTJ",44036.75,"EPKT",44036.875,10300,0.779999971389771,11034,3700,"2025-05-01T17:00:00.126Z"
"24/07/2020","EAC","7633","BJ",320,"C","EPKT",44036.89930555555,"DTTJ",44037.01388888889,7903,0.800000011920929,10092,3600,"2025-05-01T17:00:00.126Z"
"25/07/2020","EAC","0554","BJ",320,"J","DTTJ",44037.1875,"",44037.30208333334,9900,0.779999971389771,11322,4300,"2025-05-01T17:00:00.126Z"
"25/07/2020","EAC","0555","BJ",320,"J","",44037.36111111111,"DTTJ",44037.46527777778,8074,0.785000026226044,10638,3600,"2025-05-01T17:00:00.126Z"
"25/07/2020","EAC","2340","BJ",320,"C","DTTJ",44037.52291666667,"EDDL",44037.64236111111,9850,0.795000016689301,11431,3740,"2025-05-01T17:00:00.126Z"
"25/07/2020","EAC","2341","BJ",320,"C","EDDL",44037.69583333333,"DTTJ",44037.82083333333,8276,0.800000011920929,10361,3160,"2025-05-01T17:00:00.126Z"
"26/07/2020","EAC","2966","BJ",320,"C","DTTJ",44038.10763888889,"EDDL",44038.21875,10050,0.779999971389771,10999,3800,"2025-05-01T17:00:00.126Z"
"26/07/2020","EAC","2967","BJ",320,"C","EDDL",44038.27777777778,"DTTJ",44038.39791666667,9074,0.804000020027161,11095,3200,"2025-05-01T17:00:00.126Z"
"26/07/2020","EAC","0702","BJ",320,"J","DTTJ",44038.54861111111,"",44038.6625,9700,0.777999997138977,10747,3760,"2025-05-01T17:00:00.126Z"
"26/07/2020","EAC","0703","BJ",320,"J","",44038.70138888889,"DTTJ",44038.81597222222,8449,0.791000008583069,10443,3540,"2025-05-01T17:00:00.126Z"
"27/07/2020","EAC","2972","BJ",320,"C","DTTJ",44039.09652777778,"EDDL",44039.21944444445,10295,0.779999971389771,11570,4200,"2025-05-01T17:00:00.126Z"
"27/07/2020","EAC","2973","BJ",320,"C","EDDL",44039.26041666666,"DTTJ",44039.38680555556,8483,0.800000011920929,10986,3540,"2025-05-01T17:00:00.126Z"
"27/07/2020","EAC","0592","BJ",320,"J","DTTJ",44039.4375,"LFLL",44039.51736111111,7000,0.776000022888184,8972,3600,"2025-05-01T17:00:00.126Z"
"27/07/2020","EAC","0593","BJ",320,"J","LFLL",44039.56597222222,"DTTJ",44039.65277777778,6912,0.791999995708466,9074,3600,"2025-05-01T17:00:00.126Z"
"27/07/2020","EAC","0740","BJ",320,"J","DTTJ",44039.70347222222,"LFBO",44039.79375,8900,0.777999997138977,10424,5160,"2025-05-01T17:00:00.126Z"
"27/07/2020","EAC","0741","BJ",320,"J","LFBO",44039.82638888889,"DTTJ",44039.91180555556,4305,0.785000026226044,8539,3540,"2025-05-01T17:00:00.126Z"
"28/07/2020","EAC","0134","BJ",320,"J","DTTJ",44040.375,"LFSB",44040.47569444445,8350,0.77700001001358,10028,4100,"2025-05-01T17:00:00.126Z"
"28/07/2020","EAC","0135","BJ",320,"J","LFSB",44040.52777777778,"DTTJ",44040.62847222222,6835,0.800000011920929,9568,3460,"2025-05-01T17:00:00.126Z"
"28/07/2020","EAC","0702","BJ",320,"J","DTTJ",44040.67638888889,"",44040.79652777778,11600,0.774999976158142,12450,5140,"2025-05-01T17:00:00.126Z"
"28/07/2020","EAC","0703","BJ",320,"J","",44040.83680555555,"DTTJ",44040.95486111111,6700,0.788999974727631,10426,3600,"2025-05-01T17:00:00.126Z"
"29/07/2020","EAC","0740","BJ",320,"J","DTTJ",44041.16458333333,"LFBO",44041.25138888889,6300,0.778999984264374,8508,3200,"2025-05-01T17:00:00.126Z"
"29/07/2020","EAC","0741","BJ",320,"J","LFBO",44041.30486111111,"DTTJ",44041.38888888889,6236,0.785000026226044,8095,3200,"2025-05-01T17:00:00.126Z"
"29/07/2020","EAC","0762","BJ",320,"J","DTTJ",44041.43055555555,"LFQQ",44041.55555555555,10800,0.779999971389771,11624,4100,"2025-05-01T17:00:00.126Z"
"29/07/2020","EAC","0763","BJ",320,"J","LFQQ",44041.59375,"DTTJ",44041.72569444445,9586,0.790000021457672,11673,4100,"2025-05-01T17:00:00.126Z"
"29/07/2020","EAC","0770","BJ",320,"J","DTTJ",44041.75347222222,"LFBD",44041.86805555555,7610,0.769999980926514,9960,3800,"2025-05-01T17:00:00.126Z"
"29/07/2020","EAC","0771","BJ",320,"J","LFBD",44041.90277777778,"DTTJ",44042,6564,0.787999987602234,8972,3500,"2025-05-01T17:00:00.126Z"
"30/07/2020","EAC","0702","BJ",320,"J","DTTJ",44042.10416666666,"",44042.23125,10368,0.779999971389771,11587,4200,"2025-05-01T17:00:00.126Z"